# 
# Header Description:
# 
# Version: v3.10.5 (24099-google), Manufacturer: Google, Model: Pixel 7 Pro, GNSS HW Year: 2020, Platform: 16, API Level: 36 
# 
# Raw GNSS measurements format:
#   Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# Location fix format:
#   Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation
# 
# Navigation message format:
#   Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# NMEA format (for [NMEA sentence] format see https://en.wikipedia.org/wiki/NMEA_0183):
#   NMEA,[NMEA sentence],(UTC)TimeInMs
# 
# GnssAntennaInfo format (https://developer.android.com/reference/android/location/GnssAntennaInfo):
#   GnssAntennaInfo,CarrierFrequencyMHz,PhaseCenterOffsetXOffsetMm,PhaseCenterOffsetXOffsetUncertaintyMm,PhaseCenterOffsetYOffsetMm,PhaseCenterOffsetYOffsetUncertaintyMm,PhaseCenterOffsetZOffsetMm,PhaseCenterOffsetZOffsetUncertaintyMm,PhaseCenterVariationCorrectionsArray,PhaseCenterVariationCorrectionUncertaintiesArray,PhaseCenterVariationCorrectionsDeltaPhi,PhaseCenterVariationCorrectionsDeltaTheta,SignalGainCorrectionsArray,SignalGainCorrectionUncertaintiesArray,SignalGainCorrectionsDeltaPhi,SignalGainCorrectionsDeltaTheta
# 
# GnssStatus format (https://developer.android.com/reference/android/location/GnssStatus):
#   Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# Orientation sensor format (https://developer.android.com/reference/android/hardware/SensorEvent#values):
#   OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
OrientationDeg,1769688663951,519437518171351,91.34513854347733,-15.879020150384282,-1.9452028709001352
OrientationDeg,1769688663959,519437526439191,91.3417985809732,-15.888932462417262,-1.9472865054838122
OrientationDeg,1769688663967,519437534709740,91.3371199013917,-15.90110044442364,-1.946193248329787
OrientationDeg,1769688663975,519437542979709,91.33212020291927,-15.914928162398331,-1.946115128041155
OrientationDeg,1769688663984,519437551251843,91.32771473090463,-15.928556097339799,-1.9450523932949833
OrientationDeg,1769688663992,519437559522718,91.32391031553692,-15.939626126437098,-1.9418552244331826
OrientationDeg,1769688664000,519437567793458,91.32148559838157,-15.945930391041019,-1.9360783784992328
OrientationDeg,1769688664009,519437576064320,91.32121239081476,-15.947026636402805,-1.9280746774524473
OrientationDeg,1769688664017,519437584331533,91.32366442872677,-15.942450409658898,-1.919585392644356
OrientationDeg,1769688664025,519437592606200,91.32910808949532,-15.932572248571766,-1.911686919199471
OrientationDeg,1769688664033,519437600864612,91.33743409009355,-15.918348379625215,-1.9061745296524477
OrientationDeg,1769688664042,519437609148231,91.34819163803627,-15.900914321768758,-1.9037521603746204
OrientationDeg,1769688664050,519437617422198,91.36144220502615,-15.88074477314971,-1.8997159454619659
OrientationDeg,1769688664058,519437625690803,91.37577877209401,-15.860930394367502,-1.8892518822100948
OrientationDeg,1769688664066,519437633960873,91.39018364105357,-15.844638685649729,-1.8746683611150596
OrientationDeg,1769688664075,519437642231694,91.40406941563617,-15.83542988310126,-1.8565367701896147
OrientationDeg,1769688664083,519437650502650,91.41739511470689,-15.835957515214643,-1.836581091868953
NMEA,$PGLOR,2,NEW,PERFIX,31,PER,1000,QOP,-1,H,LTECO,*1B,1769688664085
OrientationDeg,1769688664090,519437658773533,91.43043394583242,-15.84700705374443,-1.8195468135223527
NMEA,$PGLOR,0,RID,4776,154,20,24,625212*33,1769688664098
NMEA,$GPGGA,121103.24,,,,,0,00,999.9,,M,,M,,*60,1769688664098
NMEA,$PGLOR,12,STA,121103.24,0.000,0.202,-2352,98,9999,0,P,D,L,1,C,0,S,00000000,0,2,R,00000000,TPeF,0,105,LC,,,DR,0,,,,*00,1769688664098
NMEA,$PGLOR,1,UNC,121103.24,201691.453,9999.0,9999.0,0.00,0.00,10588.6,10588.6,90.0*2D,1769688664098
OrientationDeg,1769688664100,519437667044264,91.44241409763663,-15.867796442030658,-1.8124901608926718
NMEA,$PGLOR,2,SAT*32,1769688664098
NMEA,$PGLOR,2,SVC,GPS,0,0,1,00*6B,1769688664098
NMEA,$PGLOR,1,GLO,+1,-4,+5,+6,+1,-4,+5,+6,-2,-7,+0,-1,-2,-7,+0,-1,+4,-3,+3,+2,+4,-3,+3,+2*33,1769688664098
